epoch;IoU;binary_accuracy;kaggle_IoU;loss;lr;val_IoU;val_binary_accuracy;val_kaggle_IoU;val_loss
0;0.015400597973105808;0.5123171852280696;0.05057035793239872;43.786508814493814;0.001;0.01798111622532209;0.7773345311482748;0.05508198142051697;43.02781244913737
1;0.04373698588460684;0.9173255364100138;0.07779397728542486;42.326942952473956;0.001;0.01809707678233584;0.7778919339179993;0.029626662905017535;42.97906862894694
2;0.07544467523694039;0.9507666726907095;0.1101728543639183;40.32387097676595;0.001;0.02315528631831209;0.8337201058864594;0.07000489048659801;40.75144208272298
3;0.08899611793458462;0.9576276063919067;0.12081048463781675;39.168907419840494;0.001;0.0835275836288929;0.9562031169732411;0.10988358880082766;39.09332962036133
4;0.10372301166256269;0.9647235075632731;0.1337474973251422;38.419406763712566;0.001;0.19585214803616205;0.9862827082475026;0.2357261230548223;36.689985020955405
5;0.11267082529763381;0.9698590517044068;0.14329661975304286;37.79074503580729;0.001;0.21663278341293335;0.9879197259744008;0.2508108670512835;37.58327344258626
6;0.13605987677971523;0.9741553982098897;0.16855361809333166;36.37772509256999;0.00020000001;0.2784306143720945;0.9915008942286173;0.3171034773190816;37.266129938761395
7;0.1375478150943915;0.974024228254954;0.16896710495154063;36.03753808339437;4.0000003e-05;0.2316870371500651;0.9882630368073781;0.27019381572802864;36.343005116780596
8;0.1355367270608743;0.9744189778963724;0.1682298295199871;36.06358394622803;4.0000003e-05;0.22697080920139948;0.9877731800079346;0.266431783636411;36.223046747843426
9;0.1411325308183829;0.9745785176753998;0.1727088396747907;35.83430836995443;4.0000003e-05;0.22844458321730296;0.987746387720108;0.2689706414937973;36.11863339742025
0;0.0867528855955849;0.9554761668046315;0.10371184994777044;34.182030296325685;0.01;0.010153793714319665;0.6441747844219208;0.010862317013864716;44.69219576517741
1;0.20922750408450763;0.9870064616203308;0.2228871241211891;19.679823939005534;0.01;0.03516862659404675;0.9057356178760528;0.056439163722097875;31.740933990478517
2;0.2837877752880255;0.9939652840296428;0.28647445390621823;11.13506105740865;0.01;0.21706649710734685;0.9931040704250336;0.22228337377309798;12.558658409118653
3;0.3361031929651896;0.9950309952100118;0.33600137929121654;7.7374848365783695;0.01;0.24431708256403606;0.9928956786791484;0.24921141887704532;10.829214684168498
4;0.3453268071015676;0.9953474660714468;0.34481519609689715;7.269268973668416;0.01;0.30354346831639606;0.99602512717247;0.30355498343706133;8.611956628163655
5;0.348894868294398;0.9959099849065145;0.34800452341636023;7.103837347030639;0.01;0.24117632657289506;0.9945456941922506;0.24166937520106632;10.265725946426391
6;0.3645019009709358;0.9954845706621805;0.36313074827194214;6.701966365178426;0.0019999999;0.2769416724642118;0.9946908513704936;0.2802389204502106;8.929271109898885
7;0.37853872080643974;0.9958759327729543;0.3779760261376699;6.406865580876668;0.00039999996;0.3458426167567571;0.9962992529074352;0.3478702555100123;7.130797163645426
8;0.40392504731814066;0.9961082955201467;0.4032519871989886;5.936527681350708;0.00039999996;0.3816315030058225;0.9970186789830525;0.3801054408152898;6.421903991699219
9;0.3934134418765704;0.9961258828639984;0.392408095796903;6.0803471883138025;0.00039999996;0.38275565455357236;0.9973021368185679;0.3764872714877129;6.436374505360921
10;0.37538859695196153;0.9960050026575724;0.3734924683968226;6.5193645318349205;7.999999e-05;0.39350104381640755;0.9973741710186005;0.3862132832407951;6.207589880625407
11;0.3834038138389587;0.9960265894730885;0.3820658788084984;6.288222551345825;7.999999e-05;0.3948207234342893;0.9973995506763458;0.3871185064315796;6.171857754389445
12;0.41445754865805307;0.9962378342946371;0.4125162611405055;5.731797742843628;7.999999e-05;0.3931542173027992;0.9974089006582896;0.3851479321718216;6.203836409250895
13;0.39030747016270956;0.9962408681710561;0.38924079736073813;6.143130755424499;1.5999998e-05;0.3908046548565229;0.9974057475725809;0.38251471022764844;6.2533579270044966
0;0.3804051871101061;0.9959549188613892;0.37885176092386247;62.993767420450844;0.001;0.29972802797953285;0.9970163901646932;0.2854408318797747;81.21869316101075
1;0.3980812301238378;0.9960774759451548;0.3969903608163198;59.01251792907715;0.001;0.36613375345865884;0.9971242825190226;0.3565935696164767;65.9551441192627
0;0.36580258707205454;0.995665043592453;0.364232108493646;65.42700564066568;0.01;0.319584654768308;0.9961979448795318;0.3124692638715108;76.66624628702799
1;0.35797027697165806;0.9957689801851909;0.35617785106102623;67.42935066223144;0.01;0.3914991627136866;0.9965345005194346;0.38593268593152363;59.55701510111491
2;0.38416411976019543;0.9959459642569224;0.38187569777170816;61.48150825500488;0.01;0.2652594176431497;0.9963294605414073;0.2584227400521437;91.2267354329427
